"","PRCP","Year","Month","Day","rain","daynum","mP","sdP","detP","detP2"
"1",1.21,1950,1,6,2,6,1.37833333333333,0.595060221042095,-0.168333333333333,1.29666666666667
"2",0.77,1950,1,7,2,7,1.30125,0.953316579106857,-0.53125,0.93375
"3",1.29,1950,1,10,2,10,1.20571428571429,0.522224742154832,0.0842857142857143,1.54928571428571
"4",1.01,1950,1,13,2,13,1.3975,1.14882237841315,-0.3875,1.0775
"5",0.89,1950,1,20,2,20,1.518,1.05808842310608,-0.628,0.837
"6",0.83,1950,1,21,2,21,0.945555555555556,0.31635071957841,-0.115555555555556,1.34944444444444
"7",1.53,1950,1,26,2,26,1.194,0.307619895325384,0.336,1.801
"8",1.27,1950,1,27,2,27,1.71,0.703379596763268,-0.44,1.025
"9",1.29,1950,2,24,2,55,1.34142857142857,0.345032779671177,-0.0514285714285714,1.41357142857143
"10",0.91,1950,3,16,2,75,1.024,0.210546906887753,-0.114,1.351
"11",0.96,1950,10,3,2,276,0.925,0.0494974746830583,0.0349999999999999,1.5
"12",0.7,1950,10,5,2,278,0.85,0.141067359796659,-0.15,1.315
"13",0.87,1950,10,17,2,290,0.97,0.24576411454889,-0.1,1.365
"14",0.91,1950,10,26,2,299,1.094,0.377266484066634,-0.184,1.281
"15",1.26,1950,10,27,2,300,1.17,0.495147885556859,0.0900000000000001,1.555
"16",1.93,1950,10,28,2,301,1.19,0.650230728280354,0.74,2.205
"17",1.91,1950,10,29,2,302,1.11,0.543016267405192,0.8,2.265
"18",3.61,1950,11,15,2,319,1.715,1.04916633571612,1.895,3.36
"19",0.85,1950,11,16,2,320,0.884,0.104546640309481,-0.034,1.431
"20",1.78,1950,11,17,2,321,1.13,0.367117147515613,0.65,2.115
"21",1.15,1951,1,2,2,2,1.124,0.265198039208438,0.026,1.491
"22",0.76,1951,1,14,2,14,1.14,0.419099563880046,-0.38,1.085
"23",1.52,1951,1,17,2,17,1.352,0.477139625499939,0.168,1.633
"24",0.98,1951,1,21,2,21,0.945555555555556,0.31635071957841,0.0344444444444444,1.49944444444444
"25",1.26,1951,2,4,2,35,0.99,0.185652004208591,0.27,1.735
"26",0.74,1951,2,11,2,42,1.025,0.558181571414416,-0.285,1.18
"27",0.87,1951,3,5,2,64,1.00444444444444,0.362426237706071,-0.134444444444444,1.33055555555556
"28",1.1,1951,10,1,2,274,0.99,0.155563491861041,0.11,1.575
"29",0.74,1951,10,11,2,284,0.995,0.382055842340706,-0.255,1.21
"30",0.87,1951,10,22,2,295,1.01285714285714,0.199559037690127,-0.142857142857143,1.32214285714286
"31",0.78,1951,11,10,2,314,1.11166666666667,0.500736124786965,-0.331666666666667,1.13333333333333
"32",1.27,1951,11,11,2,315,1.08444444444444,0.284214316630563,0.185555555555555,1.65055555555556
"33",0.71,1951,11,27,2,331,1.485,0.774532116829251,-0.775,0.69
"34",0.74,1951,11,29,2,333,0.99,0.332114438108312,-0.25,1.215
"35",1.43,1951,12,3,2,337,1.75375,1.34503252748772,-0.32375,1.14125
"36",0.87,1951,12,4,2,338,1.40545454545455,0.824455743340583,-0.535454545454546,0.929545454545455
"37",1.1,1951,12,26,2,360,1.15666666666667,0.272396769437525,-0.0566666666666666,1.40833333333333
"38",1.01,1951,12,29,2,363,0.898571428571429,0.12876704695283,0.111428571428571,1.57642857142857
"39",0.97,1952,1,9,2,9,1.26363636363636,0.367376448000487,-0.293636363636364,1.17136363636364
"40",1.13,1952,2,3,2,34,0.898,0.166343019090072,0.232,1.697
"41",0.95,1952,6,14,2,166,0.95,NA,0,1.465
"42",1.56,1952,6,28,2,180,1.56,NA,0,1.465
"43",1.1,1952,6,29,2,181,0.93,0.240416305603426,0.17,1.635
"44",0.8,1952,12,2,2,337,1.75375,1.34503252748772,-0.95375,0.51125
"45",0.71,1952,12,4,2,339,1.67888888888889,1.38599643257517,-0.968888888888889,0.496111111111111
"46",1.14,1952,12,6,2,341,1.11555555555556,0.322688360152296,0.0244444444444443,1.48944444444444
"47",0.92,1952,12,7,2,342,1.25833333333333,0.196001700672894,-0.338333333333333,1.12666666666667
"48",0.75,1952,12,10,2,345,1.211,0.570739286656643,-0.461,1.004
"49",0.73,1953,1,1,2,1,1.08,0.360924738230378,-0.35,1.115
"50",1.76,1953,1,8,2,8,1.28,0.585889636934011,0.48,1.945
"51",0.84,1953,1,17,2,17,1.352,0.477139625499939,-0.512,0.953
"52",1.58,1953,1,18,2,18,1.41666666666667,0.525268185469734,0.163333333333333,1.62833333333333
"53",1.13,1953,1,20,2,20,1.518,1.05808842310608,-0.388,1.077
"54",0.82,1953,2,2,2,33,0.783333333333333,0.055075705472861,0.0366666666666666,1.50166666666667
"55",0.88,1953,2,3,2,34,0.898,0.166343019090072,-0.018,1.447
"56",0.71,1953,2,16,2,47,1.09777777777778,0.32213265038559,-0.387777777777778,1.07722222222222
"57",1.2,1953,2,17,2,48,1.31666666666667,0.60741254514539,-0.116666666666667,1.34833333333333
"58",0.85,1953,3,16,2,75,1.024,0.210546906887753,-0.174,1.291
"59",0.84,1953,3,20,2,79,0.82,0.0282842712474618,0.0199999999999999,1.485
"60",0.8,1953,5,26,2,146,0.82,0.0346410161513775,-0.02,1.445
"61",0.7,1953,9,30,2,273,0.895,0.210633963706394,-0.195,1.27
"62",0.73,1953,10,9,2,282,1.555,1.38179834515267,-0.825,0.64
"63",0.79,1953,10,17,2,290,0.97,0.24576411454889,-0.18,1.285
"64",1.2,1953,11,21,2,325,1.14272727272727,0.346297297393177,0.0572727272727271,1.52227272727273
"65",1.93,1953,11,22,2,326,1.516,0.642827089244586,0.414,1.879
"66",1.15,1953,12,6,2,340,1.23666666666667,0.46473110504893,-0.0866666666666667,1.37833333333333
"67",2.72,1953,12,19,2,353,1.41,0.866117774901312,1.31,2.775
"68",1.24,1954,1,15,2,15,1.35,1.29610956327002,-0.11,1.355
"69",1.04,1954,1,16,2,16,1.004,0.284612797401038,0.036,1.501
"70",0.97,1954,1,22,2,22,1.02666666666667,0.303490801617885,-0.0566666666666666,1.40833333333333
"71",0.99,1954,1,25,2,25,1.33714285714286,0.287675412326363,-0.347142857142857,1.11785714285714
"72",2.66,1954,1,27,2,27,1.71,0.703379596763268,0.95,2.415
"73",1.04,1954,1,28,2,28,1.06,0.30878795313289,-0.02,1.445
"74",0.83,1954,2,12,2,43,1.54166666666667,0.98002891113817,-0.711666666666667,0.753333333333333
"75",0.86,1954,2,17,2,48,1.31666666666667,0.60741254514539,-0.456666666666667,1.00833333333333
"76",0.76,1954,4,3,2,93,0.893333333333333,0.115902257671425,-0.133333333333333,1.33166666666667
"77",0.7,1954,10,12,2,285,1.0925,0.428125760339957,-0.3925,1.0725
"78",0.75,1954,10,21,2,294,0.8425,0.118145390656315,-0.0925,1.3725
"79",0.81,1954,11,14,2,318,1.114,0.221201265819163,-0.304,1.161
"80",1,1954,11,16,2,320,0.884,0.104546640309481,0.116,1.581
"81",0.73,1955,1,15,2,15,1.35,1.29610956327002,-0.62,0.845
"82",0.71,1955,3,22,2,81,1.01833333333333,0.449373638152781,-0.308333333333333,1.15666666666667
"83",0.82,1955,4,11,2,101,1.09,0.310966236109324,-0.27,1.195
"84",0.87,1955,4,12,2,102,0.826,0.0931665175908169,0.044,1.509
"85",3.62,1955,10,9,2,282,1.555,1.38179834515267,2.065,3.53
"86",1.25,1955,10,31,2,304,1.3425,0.977149644922122,-0.0925,1.3725
"87",1.04,1955,11,18,2,322,1.08375,0.369050422416388,-0.04375,1.42125
"88",0.92,1955,11,19,2,323,1.7,1.13663245305302,-0.78,0.685
"89",1.04,1955,11,25,2,329,1.647,1.03562165978808,-0.607,0.858
"90",0.71,1955,11,26,2,330,1.23833333333333,0.665715154301498,-0.528333333333333,0.936666666666667
"91",0.89,1955,11,30,2,334,1.18083333333333,0.5802265753892,-0.290833333333333,1.17416666666667
"92",0.8,1955,12,5,2,339,1.67888888888889,1.38599643257517,-0.878888888888889,0.586111111111111
"93",1.22,1955,12,8,2,342,1.25833333333333,0.196001700672894,-0.0383333333333333,1.42666666666667
"94",0.85,1955,12,10,2,344,1.23555555555556,0.747380611052881,-0.385555555555556,1.07944444444444
"95",1.07,1955,12,18,2,352,0.99875,0.2685111064476,0.07125,1.53625
"96",2.04,1955,12,19,2,353,1.41,0.866117774901312,0.63,2.095
"97",3.02,1955,12,20,2,354,1.61,0.670799097026396,1.41,2.875
"98",3.12,1955,12,21,2,355,1.328,0.69572983262183,1.792,3.257
"99",2.59,1955,12,25,2,359,1.736,0.735683355799219,0.854,2.319
"100",1.61,1955,12,26,2,360,1.15666666666667,0.272396769437525,0.453333333333333,1.91833333333333
"101",1.53,1956,1,4,2,4,1.29857142857143,0.416070049047376,0.231428571428572,1.69642857142857
"102",1.68,1956,1,6,2,6,1.37833333333333,0.595060221042095,0.301666666666667,1.76666666666667
"103",1.17,1956,1,14,2,14,1.14,0.419099563880046,0.03,1.495
"104",1.33,1956,1,15,2,15,1.35,1.29610956327002,-0.02,1.445
"105",0.86,1956,1,22,2,22,1.02666666666667,0.303490801617885,-0.166666666666667,1.29833333333333
"106",2.08,1956,2,20,2,51,1.146,0.544316084642003,0.934,2.399
"107",0.96,1956,2,21,2,52,1.0475,0.21285474591172,-0.0874999999999999,1.3775
"108",1.13,1956,3,3,2,63,1.1125,0.311381331061021,0.0175000000000001,1.4825
"109",0.71,1956,3,4,2,64,1.00444444444444,0.362426237706071,-0.294444444444445,1.17055555555556
"110",0.74,1956,5,6,2,127,0.95,0.274043792120894,-0.21,1.255
"111",1.71,1956,10,25,2,299,1.094,0.377266484066634,0.616,2.081
"112",1.24,1956,10,29,2,303,1.1725,0.675272431795388,0.0674999999999999,1.5325
"113",1.07,1956,10,30,2,304,1.3425,0.977149644922122,-0.2725,1.1925
"114",0.76,1956,11,16,2,321,1.13,0.367117147515613,-0.37,1.095
"115",0.76,1956,12,11,2,346,1.15571428571429,0.459886114266606,-0.395714285714286,1.06928571428571
"116",0.85,1957,1,7,2,7,1.30125,0.953316579106857,-0.45125,1.01375
"117",0.7,1957,2,1,2,32,0.9825,0.30560244950402,-0.2825,1.1825
"118",0.83,1957,2,22,2,53,1.112,0.609155152649963,-0.282,1.183
"119",1.42,1957,2,24,2,55,1.34142857142857,0.345032779671177,0.0785714285714285,1.54357142857143
"120",1.01,1957,2,25,2,56,0.9175,0.100457287772798,0.0925,1.5575
"121",1.02,1957,3,6,2,65,0.942,0.191494125236259,0.0780000000000001,1.543
"122",1.22,1957,3,7,2,66,0.944,0.243577503066273,0.276,1.741
"123",0.7,1957,3,11,2,70,0.91,0.29698484809835,-0.21,1.255
"124",0.79,1957,3,12,2,71,1.02666666666667,0.366696968444882,-0.236666666666667,1.22833333333333
"125",0.7,1957,4,14,2,104,0.87,0.165227116418583,-0.17,1.295
"126",0.9,1957,9,26,2,269,1.045,0.218708329364323,-0.145,1.32
"127",0.81,1957,10,12,2,285,1.0925,0.428125760339957,-0.2825,1.1825
"128",1.35,1957,12,17,2,351,1.055,0.322711724520286,0.295,1.76
"129",0.75,1957,12,18,2,352,0.99875,0.2685111064476,-0.24875,1.21625
"130",3.24,1957,12,19,2,353,1.41,0.866117774901312,1.83,3.295
"131",1.72,1957,12,20,2,354,1.61,0.670799097026396,0.11,1.575
"132",1.33,1957,12,21,2,355,1.328,0.69572983262183,0.002,1.467
"133",0.94,1957,12,27,2,361,1.3175,0.476767388625882,-0.3775,1.0875
"134",0.72,1958,1,10,2,10,1.20571428571429,0.522224742154832,-0.485714285714286,0.979285714285714
"135",0.76,1958,1,12,2,12,1.17625,0.385187802061725,-0.41625,1.04875
"136",0.96,1958,1,16,2,16,1.004,0.284612797401038,-0.044,1.421
"137",0.78,1958,1,23,2,23,1.356,0.398911017646793,-0.576,0.889
"138",2.06,1958,1,29,2,29,1.25,0.701498396291823,0.81,2.275
"139",0.83,1958,1,30,2,30,1.06,0.321558703816271,-0.23,1.235
"140",0.8,1958,2,11,2,42,1.025,0.558181571414416,-0.225,1.24
"141",0.84,1958,2,14,2,45,1.08714285714286,0.303024437172664,-0.247142857142857,1.21785714285714
"142",2.7,1958,2,15,2,46,1.23833333333333,0.739362337874108,1.46166666666667,2.92666666666667
"143",1.76,1958,2,24,2,55,1.34142857142857,0.345032779671177,0.418571428571429,1.88357142857143
"144",0.8,1958,9,12,2,255,0.985,0.261629509039022,-0.185,1.28
"145",0.78,1958,10,31,2,304,1.3425,0.977149644922122,-0.5625,0.9025
"146",0.91,1958,11,9,2,313,1.08833333333333,0.225248011459961,-0.178333333333333,1.28666666666667
"147",0.86,1958,11,12,2,316,1.095,0.272658865879797,-0.235,1.23
"148",1.03,1958,11,18,2,322,1.08375,0.369050422416388,-0.05375,1.41125
"149",1.73,1958,11,19,2,323,1.7,1.13663245305302,0.03,1.495
"150",0.99,1958,12,26,2,360,1.15666666666667,0.272396769437525,-0.166666666666667,1.29833333333333
"151",1.81,1959,1,8,2,8,1.28,0.585889636934011,0.53,1.995
"152",1.24,1959,1,9,2,9,1.26363636363636,0.367376448000487,-0.0236363636363637,1.44136363636364
"153",3,1959,1,11,2,11,1.44833333333333,1.00559269421902,1.55166666666667,3.01666666666667
"154",2.61,1959,1,27,2,27,1.71,0.703379596763268,0.9,2.365
"155",1.93,1959,2,13,2,44,1.36428571428571,0.531189142172451,0.565714285714286,2.03071428571429
"156",1.31,1959,2,14,2,45,1.08714285714286,0.303024437172664,0.222857142857143,1.68785714285714
"157",0.73,1959,5,14,2,134,0.73,NA,0,1.465
"158",0.7,1960,1,7,2,7,1.30125,0.953316579106857,-0.60125,0.86375
"159",0.93,1960,1,27,2,27,1.71,0.703379596763268,-0.78,0.685
"160",0.72,1960,2,6,2,37,1.25666666666667,0.811582815655104,-0.536666666666667,0.928333333333333
"161",1.52,1960,2,8,2,39,1.192,0.398082905937947,0.328,1.793
"162",0.74,1960,2,9,2,40,1.33,0.773175271203108,-0.59,0.875
"163",0.71,1960,3,3,2,63,1.1125,0.311381331061021,-0.4025,1.0625
"164",0.96,1960,3,4,2,64,1.00444444444444,0.362426237706071,-0.0444444444444445,1.42055555555556
"165",1.21,1960,3,5,2,65,0.942,0.191494125236259,0.268,1.733
"166",0.77,1960,3,6,2,66,0.944,0.243577503066273,-0.174,1.291
"167",1.2,1960,3,8,2,68,1.036,0.267357438647216,0.164,1.629
"168",1.54,1960,3,29,2,89,1.205,0.366374125723965,0.335,1.8
"169",0.86,1960,5,25,2,146,0.82,0.0346410161513775,0.0399999999999999,1.505
"170",1.1,1960,11,10,2,315,1.08444444444444,0.284214316630563,0.0155555555555555,1.48055555555556
"171",0.8,1960,11,14,2,319,1.715,1.04916633571612,-0.915,0.55
"172",1.06,1960,11,17,2,322,1.08375,0.369050422416388,-0.0237499999999999,1.44125
"173",2.3,1960,11,23,2,328,1.187,0.551826260903033,1.113,2.578
"174",4.18,1960,11,24,2,329,1.647,1.03562165978808,2.533,3.998
"175",0.84,1960,12,17,2,352,0.99875,0.2685111064476,-0.15875,1.30625
"176",0.71,1960,12,18,2,353,1.41,0.866117774901312,-0.7,0.765
"177",0.78,1961,1,7,2,7,1.30125,0.953316579106857,-0.52125,0.94375
"178",1.57,1961,1,30,2,30,1.06,0.321558703816271,0.51,1.975
"179",0.82,1961,2,1,2,32,0.9825,0.30560244950402,-0.1625,1.3025
"180",2.39,1961,2,9,2,40,1.33,0.773175271203108,1.06,2.525
"181",3.87,1961,2,10,2,41,2.415,2.05768073325285,1.455,2.92
"182",1.03,1961,3,1,2,60,1.02,0.241578144706842,0.01,1.475
"183",1.28,1961,3,5,2,64,1.00444444444444,0.362426237706071,0.275555555555556,1.74055555555556
"184",0.82,1961,3,6,2,65,0.942,0.191494125236259,-0.122,1.343
"185",0.82,1961,3,19,2,78,0.936666666666667,0.101159939369957,-0.116666666666667,1.34833333333333
"186",0.88,1961,3,26,2,85,1.0425,0.253820802929941,-0.1625,1.3025
"187",0.88,1961,10,10,2,283,0.835,0.0636396103067893,0.045,1.51
"188",0.92,1961,10,26,2,299,1.094,0.377266484066634,-0.174,1.291
"189",0.96,1961,10,27,2,300,1.17,0.495147885556859,-0.21,1.255
"190",1.19,1961,11,21,2,325,1.14272727272727,0.346297297393177,0.0472727272727271,1.51227272727273
"191",2.93,1961,11,22,2,326,1.516,0.642827089244586,1.414,2.879
"192",2.17,1961,11,23,2,327,1.07181818181818,0.409727181959366,1.09818181818182,2.56318181818182
"193",1.04,1961,11,30,2,334,1.18083333333333,0.5802265753892,-0.140833333333333,1.32416666666667
"194",0.74,1961,12,13,2,347,1.30888888888889,0.770331818835955,-0.568888888888889,0.896111111111111
"195",0.95,1961,12,16,2,350,1.11285714285714,0.25753409390566,-0.162857142857143,1.30214285714286
"196",1.01,1961,12,17,2,351,1.055,0.322711724520286,-0.0449999999999999,1.42
"197",1.01,1961,12,19,2,353,1.41,0.866117774901312,-0.4,1.065
"198",1.11,1961,12,20,2,354,1.61,0.670799097026396,-0.5,0.965
"199",0.92,1962,2,13,2,44,1.36428571428571,0.531189142172451,-0.444285714285714,1.02071428571429
"200",1.08,1962,3,24,2,83,0.946666666666667,0.173877351409933,0.133333333333333,1.59833333333333
"201",1.56,1962,3,25,2,84,1.3775,0.517840065399862,0.1825,1.6475
"202",1.42,1962,3,26,2,85,1.0425,0.253820802929941,0.3775,1.8425
"203",1.32,1962,4,27,2,117,1.235,0.120208152801713,0.0850000000000002,1.55
"204",0.7,1962,5,3,2,123,0.796666666666667,0.0850490054811538,-0.0966666666666667,1.36833333333333
"205",1.22,1962,9,28,2,271,0.99,0.204205778566621,0.23,1.695
"206",1.54,1962,10,7,2,280,1.16,0.537401153701776,0.38,1.845
"207",0.98,1962,10,11,2,284,0.995,0.382055842340706,-0.015,1.45
"208",1.22,1962,10,12,2,285,1.0925,0.428125760339957,0.1275,1.5925
"209",0.81,1962,11,8,2,312,1.26285714285714,0.415199321038072,-0.452857142857143,1.01214285714286
"210",2.06,1962,11,25,2,329,1.647,1.03562165978808,0.413,1.878
"211",1.41,1962,12,2,2,336,1.21333333333333,0.586608492786734,0.196666666666667,1.66166666666667
"212",1.21,1963,1,31,2,31,1.134,0.253473645353691,0.0760000000000001,1.541
"213",0.86,1963,2,1,2,32,0.9825,0.30560244950402,-0.1225,1.3425
"214",0.99,1963,2,3,2,34,0.898,0.166343019090072,0.092,1.557
"215",0.82,1963,3,27,2,86,0.84,0.180369990112916,-0.02,1.445
"216",1.04,1963,3,28,2,87,1.0475,0.206135068987949,-0.00750000000000006,1.4575
"217",2.21,1963,3,29,2,88,1.324,0.623401957006874,0.886,2.351
"218",1.13,1963,3,30,2,89,1.205,0.366374125723965,-0.0750000000000002,1.39
"219",0.86,1963,4,12,2,102,0.826,0.0931665175908169,0.034,1.499
"220",0.84,1963,4,15,2,105,0.973333333333333,0.222336081942031,-0.133333333333333,1.33166666666667
"221",1.57,1963,5,5,2,125,1.155,0.586898628384834,0.415,1.88
"222",1.38,1963,5,6,2,126,1.145,0.332340187157677,0.235,1.7
"223",1.17,1963,9,15,2,258,0.9875,0.27232027712481,0.1825,1.6475
"224",1.08,1963,10,22,2,295,1.01285714285714,0.199559037690127,0.0671428571428572,1.53214285714286
"225",2,1963,11,7,2,311,1.476,0.804568207176993,0.524,1.989
"226",0.98,1963,11,8,2,312,1.26285714285714,0.415199321038072,-0.282857142857143,1.18214285714286
"227",1.33,1963,11,14,2,318,1.114,0.221201265819163,0.216,1.681
"228",0.8,1963,11,23,2,327,1.07181818181818,0.409727181959366,-0.271818181818182,1.19318181818182
"229",1.48,1964,1,6,2,6,1.37833333333333,0.595060221042095,0.101666666666667,1.56666666666667
"230",0.88,1964,1,16,2,16,1.004,0.284612797401038,-0.124,1.341
"231",1.83,1964,1,17,2,17,1.352,0.477139625499939,0.478,1.943
"232",1.29,1964,1,18,2,18,1.41666666666667,0.525268185469734,-0.126666666666667,1.33833333333333
"233",3.77,1964,1,19,2,19,1.52125,1.00387018938848,2.24875,3.71375
"234",1.07,1964,1,24,2,24,1.11142857142857,0.29717719581806,-0.0414285714285714,1.42357142857143
"235",1.02,1964,3,11,2,71,1.02666666666667,0.366696968444882,-0.0066666666666666,1.45833333333333
"236",0.79,1964,11,10,2,315,1.08444444444444,0.284214316630563,-0.294444444444445,1.17055555555556
"237",1.34,1964,11,11,2,316,1.095,0.272658865879797,0.245,1.71
"238",0.76,1964,11,12,2,317,1.26,0.468792775826022,-0.5,0.965
"239",1.02,1964,11,24,2,329,1.647,1.03562165978808,-0.627,0.838
"240",1.09,1964,11,27,2,332,1.2225,0.345408660657406,-0.1325,1.3325
"241",0.71,1964,11,28,2,333,0.99,0.332114438108312,-0.28,1.185
"242",0.96,1964,11,30,2,335,1.315,0.486980492422438,-0.355,1.11
"243",1.27,1964,12,1,2,336,1.21333333333333,0.586608492786734,0.0566666666666666,1.52166666666667
"244",1.42,1964,12,19,2,354,1.61,0.670799097026396,-0.19,1.275
"245",1.72,1964,12,20,2,355,1.328,0.69572983262183,0.392,1.857
"246",3.25,1964,12,21,2,356,1.31166666666667,0.957902221871662,1.93833333333333,3.40333333333333
"247",3.25,1964,12,22,2,357,1.1975,0.836057926906298,2.0525,3.5175
"248",2.08,1964,12,23,2,358,1.07,0.501477816059694,1.01,2.475
"249",1.3,1964,12,26,2,361,1.3175,0.476767388625882,-0.0174999999999998,1.4475
"250",0.76,1964,12,28,2,363,0.898571428571429,0.12876704695283,-0.138571428571429,1.32642857142857
"251",1.12,1964,12,29,2,364,1.50777777777778,0.630273309322586,-0.387777777777778,1.07722222222222
"252",1.11,1965,1,10,2,10,1.20571428571429,0.522224742154832,-0.0957142857142856,1.36928571428571
"253",1.82,1965,1,23,2,23,1.356,0.398911017646793,0.464,1.929
"254",2.26,1965,1,27,2,27,1.71,0.703379596763268,0.55,2.015
"255",1.02,1965,1,28,2,28,1.06,0.30878795313289,-0.04,1.425
"256",0.84,1965,4,18,2,108,0.84,NA,0,1.465
"257",0.95,1965,10,4,2,277,0.95,NA,0,1.465
